Subsets,Elements,Edge prob,Seconds used,Loss,Solution
352.0,215.0,0.49,4.0,13.85,9.0
257.0,247.0,0.23,10.0,22.26,19.0
326.0,394.0,0.89,0.0,10.25,3.0
442.0,198.0,0.74,1.0,12.02,5.0
476.0,169.0,0.12,20.0,21.99,30.0
286.0,175.0,0.1,19.0,20.52,33.0
407.0,126.0,0.79,1.0,26.26,4.0
315.0,465.0,0.6,3.0,20.12,8.0
397.0,250.0,0.29,7.0,17.5,15.0
162.0,163.0,0.28,4.0,21.37,14.0
303.0,347.0,0.9,0.0,24.97,3.0
283.0,184.0,0.12,17.0,20.83,36.0
414.0,310.0,0.24,12.0,23.39,20.0
165.0,150.0,0.13,14.0,21.38,28.0
232.0,259.0,0.04,34.0,21.86,70.0
337.0,372.0,0.16,14.0,20.8,30.0
316.0,215.0,0.46,2.0,24.39,8.0
480.0,302.0,0.71,1.0,21.11,4.0
311.0,185.0,0.32,6.0,18.94,12.0
114.0,470.0,0.83,0.0,1.19,5.0
101.0,108.0,0.07,12.0,20.01,39.0
262.0,449.0,0.37,2.0,17.16,11.0
245.0,163.0,0.92,0.0,25.62,2.0
152.0,278.0,0.1,11.0,20.66,38.0
194.0,302.0,0.32,3.0,22.12,13.0
409.0,144.0,0.01,55.0,22.11,100.0
421.0,459.0,0.28,6.0,21.99,18.0
497.0,400.0,0.04,80.0,18.56,89.0
102.0,398.0,0.19,9.0,13.7,24.0
158.0,354.0,0.91,0.0,2.36,3.0
138.0,317.0,0.47,2.0,11.46,11.0
180.0,141.0,0.77,0.0,9.87,4.0
201.0,421.0,0.07,19.0,23.5,52.0
159.0,487.0,0.03,33.0,19.07,122.0
105.0,363.0,0.27,2.0,16.51,19.0
181.0,309.0,0.65,0.0,14.22,5.0
323.0,278.0,0.51,2.0,14.47,8.0
237.0,126.0,0.44,0.0,24.34,6.0
297.0,423.0,0.32,3.0,17.34,12.0
427.0,438.0,0.75,1.0,15.96,5.0
351.0,315.0,0.8,1.0,9.59,5.0
495.0,496.0,0.01,152.0,18.15,218.0
284.0,456.0,0.02,63.0,17.32,131.0
116.0,465.0,0.39,2.0,29.42,13.0
485.0,225.0,0.83,1.0,19.42,4.0
153.0,258.0,0.81,0.0,14.72,4.0
213.0,257.0,0.7,0.0,19.21,4.0
252.0,296.0,0.72,0.0,16.53,5.0
252.0,252.0,0.06,23.0,23.94,54.0
374.0,167.0,0.65,2.0,16.0,7.0
148.0,429.0,0.47,3.0,51.62,10.0
258.0,474.0,0.56,2.0,27.15,9.0
293.0,177.0,0.83,0.0,39.54,4.0
306.0,416.0,0.09,25.0,21.39,45.0
176.0,485.0,0.21,9.0,17.32,24.0
428.0,155.0,0.69,1.0,13.3,5.0
160.0,214.0,0.3,4.0,19.99,13.0
116.0,236.0,0.34,2.0,20.92,12.0
500.0,141.0,0.89,1.0,20.97,3.0
346.0,419.0,0.94,0.0,18.46,2.0
371.0,214.0,0.68,1.0,7.22,5.0
338.0,296.0,0.49,3.0,16.59,9.0
396.0,331.0,0.43,4.0,21.23,10.0
355.0,130.0,0.54,1.0,27.3,6.0
386.0,231.0,0.77,1.0,4.19,3.0
476.0,474.0,0.26,11.0,20.76,18.0
378.0,467.0,0.59,3.0,15.92,8.0
293.0,320.0,0.46,2.0,13.82,9.0
223.0,144.0,0.16,11.0,15.13,25.0
150.0,368.0,0.98,0.0,6.65,2.0
218.0,431.0,0.47,3.0,25.78,9.0
447.0,488.0,0.16,19.0,21.13,30.0
275.0,240.0,0.21,8.0,20.04,14.0
175.0,214.0,0.25,8.0,15.79,16.0
121.0,489.0,0.3,5.0,19.81,17.0
133.0,406.0,0.23,6.0,20.56,20.0
455.0,182.0,0.55,3.0,9.63,8.0
388.0,295.0,0.9,0.0,11.76,3.0
340.0,327.0,0.53,2.0,206.33,8.0
121.0,132.0,0.85,0.0,4.69,3.0
277.0,354.0,0.8,1.0,20.5,5.0
301.0,176.0,0.83,0.0,16.25,4.0
190.0,220.0,0.32,3.0,16.22,12.0
189.0,112.0,0.6,0.0,3.36,5.0
112.0,316.0,0.43,2.0,16.09,11.0
241.0,132.0,0.91,0.0,46.01,2.0
104.0,254.0,0.32,3.0,62.68,13.0
106.0,319.0,0.91,0.0,14.18,3.0
184.0,489.0,0.44,3.0,19.66,10.0
395.0,303.0,0.68,2.0,23.68,7.0
393.0,106.0,0.83,1.0,35.49,4.0
229.0,323.0,0.41,3.0,30.83,10.0
292.0,463.0,0.77,1.0,25.74,4.0
191.0,354.0,0.15,10.0,24.45,30.0
495.0,119.0,0.01,56.0,23.5,97.0
167.0,188.0,0.61,0.0,12.33,5.0
342.0,262.0,0.57,1.0,11.43,6.0
488.0,159.0,0.87,1.0,17.7,3.0
294.0,443.0,0.08,22.0,20.8,47.0
136.0,102.0,0.78,0.0,25.58,5.0
182.0,324.0,0.48,3.0,22.67,8.0
161.0,372.0,0.78,1.0,26.0,5.0
493.0,480.0,0.97,0.0,26.01,3.0
102.0,423.0,0.24,7.0,20.25,19.0
388.0,180.0,0.17,11.0,26.58,24.0
274.0,410.0,0.86,1.0,25.26,3.0
491.0,157.0,0.27,9.0,22.26,15.0
391.0,193.0,0.67,1.0,27.18,5.0
287.0,388.0,0.28,10.0,23.11,17.0
244.0,463.0,0.39,5.0,21.37,13.0
392.0,244.0,0.62,2.0,28.82,6.0
243.0,198.0,0.06,24.0,26.32,48.0
388.0,445.0,0.42,3.0,22.2,8.0
121.0,323.0,0.2,7.0,19.62,22.0
108.0,280.0,0.59,0.0,22.34,7.0
163.0,299.0,0.98,0.0,16.77,2.0
490.0,382.0,0.34,6.0,21.7,15.0
454.0,222.0,0.07,33.0,18.91,43.0
263.0,118.0,0.41,2.0,25.46,7.0
319.0,148.0,0.09,23.0,21.75,35.0
332.0,173.0,0.55,1.0,4.27,6.0
151.0,428.0,0.81,0.0,35.82,5.0
189.0,252.0,0.3,6.0,22.53,15.0
494.0,321.0,0.04,64.0,20.13,78.0
429.0,169.0,0.21,6.0,14.91,17.0
299.0,402.0,0.67,1.0,2.79,6.0
315.0,375.0,0.79,0.0,28.77,4.0
106.0,183.0,0.33,3.0,24.51,14.0
129.0,355.0,0.67,0.0,27.56,6.0
455.0,295.0,0.14,14.0,22.41,30.0
155.0,182.0,0.34,3.0,15.73,11.0
213.0,322.0,0.75,0.0,12.95,5.0
133.0,197.0,0.86,0.0,3.47,4.0
487.0,249.0,0.23,11.0,12.79,20.0
259.0,218.0,0.71,1.0,12.23,6.0
179.0,167.0,0.98,0.0,0.55,1.0
225.0,486.0,0.53,2.0,12.5,9.0
132.0,216.0,0.79,0.0,2.58,3.0
182.0,372.0,0.86,0.0,39.53,4.0
485.0,287.0,0.6,1.0,30.44,7.0
235.0,123.0,0.82,0.0,31.66,4.0
431.0,332.0,0.64,3.0,19.93,8.0
289.0,221.0,0.45,4.0,39.85,11.0
254.0,435.0,0.2,11.0,43.46,26.0
246.0,332.0,0.44,1.0,26.87,9.0
